issue,category,subcategory,priority
"My computer won't turn on",HARDWARE,Power Issue,HIGH
"Laptop screen is black",HARDWARE,Display,HIGH
"Computer is making loud noise",HARDWARE,Physical Damage,MEDIUM
"Keyboard keys are not working",HARDWARE,Input Device,MEDIUM
"Mouse is not responding",HARDWARE,Input Device,LOW
"Monitor showing no signal",HARDWARE,Display,MEDIUM
"Printer is not printing",HARDWARE,Printer,MEDIUM
"Printer showing offline",HARDWARE,Printer,MEDIUM
"Paper jam in printer",HARDWARE,Printer,LOW
"Laptop battery not charging",HARDWARE,Power Issue,MEDIUM
"USB port not working",HARDWARE,Ports,LOW
"Headphones not detected",HARDWARE,Audio,LOW
"Webcam not working",HARDWARE,Camera,MEDIUM
"Microphone not detected",HARDWARE,Audio,MEDIUM
"Hard disk making clicking sound",HARDWARE,Storage,HIGH
"Computer randomly shuts down",HARDWARE,Power Issue,HIGH
"RAM not detected",HARDWARE,Memory,HIGH
"CPU overheating",HARDWARE,Cooling,HIGH
"Screen flickering",HARDWARE,Display,MEDIUM
"Touchpad not working",HARDWARE,Input Device,LOW
"Internet not working",NETWORK,Connectivity,HIGH
"WiFi keeps disconnecting",NETWORK,Wireless,MEDIUM
"Cannot connect to WiFi",NETWORK,Wireless,MEDIUM
"Slow internet speed",NETWORK,Performance,MEDIUM
"VPN not connecting",NETWORK,VPN,HIGH
"VPN disconnects frequently",NETWORK,VPN,MEDIUM
"Cannot access company intranet",NETWORK,Connectivity,HIGH
"Network drive not accessible",NETWORK,File Sharing,HIGH
"Remote desktop not connecting",NETWORK,Remote Access,HIGH
"Firewall blocking application",NETWORK,Security,MEDIUM
"IP address conflict",NETWORK,Configuration,MEDIUM
"DNS not resolving",NETWORK,Configuration,HIGH
"Ethernet cable not detected",NETWORK,Connectivity,MEDIUM
"Cannot ping server",NETWORK,Connectivity,HIGH
"Proxy settings not working",NETWORK,Configuration,MEDIUM
"Cannot access external websites",NETWORK,Connectivity,MEDIUM
"Network printer not found",NETWORK,Printer,MEDIUM
"Shared folder access denied",NETWORK,File Sharing,HIGH
"RDP session keeps dropping",NETWORK,Remote Access,MEDIUM
"Bandwidth throttling issue",NETWORK,Performance,LOW
"Forgot my password",ACCOUNT,Password,HIGH
"Account locked out",ACCOUNT,Lockout,HIGH
"Cannot log into Windows",ACCOUNT,Login,HIGH
